"year"	"title"	"url"	"index"	"img_file"	"key"
" 1990"	"Bienvenue à bord!"	"http://www.imdb.com/title/tt0099132/?ref_=nm_flmg_act_60"	"45"	"img00.jpg"	"bienvenue�bord"
" 1990"	"Tom et Lola"	"http://www.imdb.com/title/tt0098488/?ref_=nm_flmg_act_61"	"46"	"img00.jpg"	"tometlola"
" 1989"	"Chambre à part"	"http://www.imdb.com/title/tt0099238/?ref_=nm_flmg_act_62"	"47"	"img00.jpg"	"chambre�part"
" 1987"	"La voix du désert"	"http://www.imdb.com/title/tt0318815/?ref_=nm_flmg_act_65"	"48"	"img00.jpg"	"lavoixdud�sert"
" 1987"	"Le moine et la sorcière"	"http://www.imdb.com/title/tt0093556/?ref_=nm_flmg_act_66"	"49"	"img00.jpg"	"lemoineetlasorci�re"
" 1985"	"Mélodie pour un cafard"	"http://www.imdb.com/title/tt0316295/?ref_=nm_flmg_act_69"	"50"	"img00.jpg"	"m�lodiepouruncafard"
" 1985"	"Elsa, Elsa"	"http://www.imdb.com/title/tt0089082/?ref_=nm_flmg_act_70"	"51"	"img00.jpg"	"elsaelsa"
" 1985"	"Escalier C"	"http://www.imdb.com/title/tt0089103/?ref_=nm_flmg_act_71"	"52"	"img00.jpg"	"escalierc"
" 1984"	"Du sel sur la peau"	"http://www.imdb.com/title/tt0258538/?ref_=nm_flmg_act_72"	"53"	"img00.jpg"	"duselsurlapeau"
" 1983"	"Une pierre dans la bouche"	"http://www.imdb.com/title/tt0086512/?ref_=nm_flmg_act_77"	"54"	"img00.jpg"	"unepierredanslabouche"
" 1982"	"La nuit du lac"	"http://www.imdb.com/title/tt0316340/?ref_=nm_flmg_act_78"	"55"	"img00.jpg"	"lanuitdulac"
" 1982"	"Les atours de l'oeil foudre"	"http://www.imdb.com/title/tt0437078/?ref_=nm_flmg_act_79"	"56"	"img00.jpg"	"lesatoursdeloeilfoudre"
" 1982"	"Si je réponds pas, c'est que je suis mort"	"http://www.imdb.com/title/tt0316604/?ref_=nm_flmg_act_80"	"57"	"img00.jpg"	"sijer�pondspascestquejesuismort"
" 1982"	"Guy de Maupassant"	"http://www.imdb.com/title/tt0163653/?ref_=nm_flmg_act_82"	"58"	"img00.jpg"	"guydemaupassant"
" 1981"	"Les babas cool"	"http://www.imdb.com/title/tt0082041/?ref_=nm_flmg_act_86"	"59"	"img00.jpg"	"lesbabascool"
" 1981"	"Psy"	"http://www.imdb.com/title/tt0081387/?ref_=nm_flmg_act_88"	"60"	"img00.jpg"	"psy"
" 1980"	"Mon oncle d'Amérique"	"http://www.imdb.com/title/tt0081176/?ref_=nm_flmg_act_89"	"61"	"img00.jpg"	"mononcledam�rique"
" 1975"	"Les charmes de l'été"	"http://www.imdb.com/title/tt0178128/?ref_=nm_flmg_act_93"	"62"	"img00.jpg"	"lescharmesdel�t�"
